metric,year,value
EBITDA NPS,2035,63.6460428389660
EBITDA NPS,2036,98.6576777088208
Q USS,2026,234.900000000000
Q USS,2027,219.255000000000
Q USS,2028,204.564915000000
Q USS,2029,193.984065695000
Q USS,2030,184.112133293435
Q USS,2031,178.026620362775
Q USS,2032,172.973836798469
Q USS,2033,169.509589732972
Q USS,2034,165.652447220863
Q USS,2035,161.428733257065
Q USS,2036,156.238008128841
Q SPN,2026,119.850000000000
Q SPN,2027,127.960000000000
Q SPN,2028,135.386680000000
Q SPN,2029,161.315772440000
Q SPN,2030,190.507615686520
Q SPN,2031,222.743605435523
Q SPN,2032,247.819783871343
Q SPN,2033,271.215858351963
Q SPN,2034,283.044395842382
Q SPN,2035,289.080421320942
Q SPN,2036,289.712033092439
Q FIS,2026,39.7500000000000
Q FIS,2027,37.3200000000000
Q FIS,2028,37.2195600000000
Q FIS,2029,37.1258494800000
Q FIS,2030,39.6384175648400
Q FIS,2031,42.9826435879957
Q FIS,2032,47.1028064676000
Q FIS,2033,50.9469184342708
Q FIS,2034,53.5334748991747
Q FIS,2035,54.9467320809300
Q FIS,2036,55.2653010315077
Q EMS,2026,6.00000000000000
Q EMS,2027,5.59800000000000
Q EMS,2028,5.22293400000000
Q EMS,2029,5.93966408866667
Q EMS,2030,6.60837326139267
Q EMS,2031,8.16561225287936
Q EMS,2032,9.95184956526978
Q EMS,2033,11.9517423110634
Q EMS,2034,13.4843089095555
Q EMS,2035,14.5808602126152
Q EMS,2036,15.2706092450367
Q ANS,2026,350.000000000000
Q ANS,2027,326.550000000000
Q ANS,2028,362.671150000000
Q ANS,2029,396.372182950000
Q ANS,2030,479.815246692350
Q ANS,2031,577.667625163963
Q ANS,2032,648.000000000000
Q ANS,2033,702.000000000000
Q ANS,2034,756.000000000000
Q ANS,2035,814.500000000000
Q ANS,2036,873.000000000000
Q NPS,2026,12.0000000000000
Q NPS,2027,11.1960000000000
Q NPS,2028,10.4458680000000
Q NPS,2029,9.74599484400000
Q NPS,2030,10.5096798561187
Q NPS,2031,11.2221979724254
Q NPS,2032,12.5536440416062
Q NPS,2033,14.6292165574853
Q NPS,2034,16.5657257148004
Q NPS,2035,18.7891554252421
Q NPS,2036,20.4469486784176
K USS,2026,235.000000000000
K USS,2027,219.255000000000
K USS,2028,204.564915000000
K USS,2029,193.984065695000
K USS,2030,184.112133293435
K USS,2031,178.026620362775
K USS,2032,172.973836798469
K USS,2033,169.509589732972
K USS,2034,165.652447220863
K USS,2035,161.428733257065
K USS,2036,156.238008128841
K SPN,2026,120.000000000000
K SPN,2027,127.960000000000
K SPN,2028,135.386680000000
K SPN,2029,161.315772440000
K SPN,2030,190.507615686520
K SPN,2031,222.743605435523
K SPN,2032,247.819783871343
K SPN,2033,271.215858351963
K SPN,2034,283.044395842382
K SPN,2035,289.080421320942
K SPN,2036,289.712033092439
K FIS,2026,40.0000000000000
K FIS,2027,37.3200000000000
K FIS,2028,37.2195600000000
K FIS,2029,37.1258494800000
K FIS,2030,39.6384175648400
K FIS,2031,42.9826435879957
K FIS,2032,47.1028064676000
K FIS,2033,50.9469184342708
K FIS,2034,53.5334748991747
K FIS,2035,54.9467320809300
K FIS,2036,55.2653010315077
K EMS,2026,6.00000000000000
K EMS,2027,5.59800000000000
K EMS,2028,5.22293400000000
K EMS,2029,5.93966408866667
K EMS,2030,6.60837326139267
K EMS,2031,8.16561225287936
K EMS,2032,9.95184956526978
K EMS,2033,11.9517423110634
K EMS,2034,13.4843089095555
K EMS,2035,14.5808602126152
K EMS,2036,15.2706092450367
K ANS,2026,350.000000000000
K ANS,2027,326.550000000000
K ANS,2028,362.671150000000
K ANS,2029,396.372182950000
K ANS,2030,479.815246692350
K ANS,2031,577.667625163963
K ANS,2032,688.963894277977
K ANS,2033,782.803313361353
K ANS,2034,850.355491366142
K ANS,2035,903.381673444611
K ANS,2036,932.855101323822
K NPS,2026,12.0000000000000
K NPS,2027,11.1960000000000
K NPS,2028,10.4458680000000
K NPS,2029,9.74599484400000
K NPS,2030,10.5096798561187
K NPS,2031,11.2221979724254
K NPS,2032,12.5536440416062
K NPS,2033,14.6292165574853
K NPS,2034,16.5657257148004
K NPS,2035,18.7891554252421
K NPS,2036,20.4469486784176
